"uid","nightuid","namedLocation","domainID","siteID","plotID","collectDate","samplingProtocolVersion","remarks"
"bc1f9bc7-d0e1-4817-a6c3-44db9ac01365","9A64032849254064B10E9299E59B3959","STER_029.mammalGrid.mam","D10","STER","STER_029","2016-08-08","NEON.DOC.000481vH",NA
"32d01bcc-2d4b-4be0-970c-fe906634a881","48F8E605283D49A2A740F3C249CC5884","STER_028.mammalGrid.mam","D10","STER","STER_028","2016-08-08","NEON.DOC.000481vH",NA
"2ed87d2b-0e9b-4561-b1cb-50fbb4cd8c12","4C2F333D15604494AA683A9B7704C152","STER_006.mammalGrid.mam","D10","STER","STER_006","2016-08-08","NEON.DOC.000481vH",NA
"5e1a80b0-e48a-417c-a7bc-1c1791f8b884","F814DDDE4F804222BC8E7F0001F11E05","STER_006.mammalGrid.mam","D10","STER","STER_006","2016-08-09","NEON.DOC.000481vH",NA
"05ac33d5-5ec8-4437-83b4-4b0acd2fcce1","D7B759E2CFD444A3973BB3FE0440423B","STER_029.mammalGrid.mam","D10","STER","STER_029","2016-08-09","NEON.DOC.000481vH",NA
"8baa7ef5-788b-49b3-92ea-a17a3272853e","412FEBFF855A426892A0BECF349522BA","STER_026.mammalGrid.mam","D10","STER","STER_026","2016-08-09","NEON.DOC.000481vH",NA
"20049eaa-6244-406d-922c-5e51337ed79b","689327FD088F4369B774AB2BD34336A3","STER_031.mammalGrid.mam","D10","STER","STER_031","2016-08-09","NEON.DOC.000481vH",NA
"46bf7767-a0a9-4fba-bd5d-85e263984c49","F5D5CDEAA20642E48C1A569B69EF5B9D","STER_029.mammalGrid.mam","D10","STER","STER_029","2016-08-10","NEON.DOC.000481vH",NA
"ac928bb0-56de-49f1-9235-822cc597f7a1","28B1217E1426474B92CA28F3241AB1D8","STER_006.mammalGrid.mam","D10","STER","STER_006","2016-08-10","NEON.DOC.000481vH",NA
"5dfd1370-4990-4d8a-99c9-4e537bee55fd","7F3FA65986FB4BF09D3E485F5CB4EC72","STER_027.mammalGrid.mam","D10","STER","STER_027","2016-08-10","NEON.DOC.000481vH",NA
"ffcbb8be-bdb9-48d6-936a-359c639d02cf","68978661D0B047CBBE80ED7B27515AB2","STER_031.mammalGrid.mam","D10","STER","STER_031","2016-08-10","NEON.DOC.000481vH",NA
"0b24f03e-6a85-4f4e-bf52-e0ebbc99057e","A9DFD357CD084BAB866AE808BB08207C","STER_027.mammalGrid.mam","D10","STER","STER_027","2016-09-07","NEON.DOC.000481vH",""
"1ea1d72b-e88d-4401-bfac-5c9c8c374fde","B127170DD3B246B791AD8ABC4A7BF1AD","STER_029.mammalGrid.mam","D10","STER","STER_029","2016-09-07","NEON.DOC.000481vH",""
"a4c9769d-65f7-4ee2-a222-a8d4cc2b9b60","F6C430AF134741D1A7D34D2D45A6CD7C","STER_031.mammalGrid.mam","D10","STER","STER_031","2016-09-07","NEON.DOC.000481vH",""
"0a5acf38-0468-4c0e-938c-344e2b63e167","165EDC2574A34160AC6196CF095B58C1","STER_006.mammalGrid.mam","D10","STER","STER_006","2016-09-07","NEON.DOC.000481vH",""
